date-time,pos,Asset,price,ts,btc_24hr_pc,PnL
15-07-2022 20:00:53,el,BURGER,2.251,1657900853,0.0,0
15-07-2022 21:35:08,xl,BURGER,2.272,1657906508,0.0,0.93
15-07-2022 23:00:36,el,MBL,0.004257,1657911636,0.0,0
16-07-2022 05:01:37,xl,MBL,0.0043,1657933297,0.0,1.01
16-07-2022 06:00:55,el,PERP,0.743,1657936855,0.0,0
16-07-2022 12:11:01,xl,PERP,0.753,1657959061,0.0,1.35
16-07-2022 13:01:02,es,SANTOS,4.135,1657962062,0.0,0
16-07-2022 13:10:22,xs,SANTOS,4.093,1657962622,0.0,1.03
16-07-2022 14:01:44,es,RAD,1.731,1657965704,0.0,0
16-07-2022 15:21:15,xs,RAD,1.712,1657970475,0.0,1.11
16-07-2022 19:00:44,es,FET,0.0808,1657983644,0.0,0
16-07-2022 19:18:55,xs,FET,0.0799,1657984735,0.0,1.13
16-07-2022 21:00:40,el,MBL,0.004258,1657990840,0.0,0
17-07-2022 05:00:11,xl,MBL,0.00431,1658019611,0.0,1.22
17-07-2022 14:01:18,el,VGX,0.37,1658052078,0.0,0
17-07-2022 14:01:46,xl,VGX,0.373,1658052106,0.0,0.81
17-07-2022 20:01:25,el,ACM,3.36,1658073685,0.0,0
18-07-2022 00:34:15,xl,ACM,3.29,1658090055,0.0,-2.0
18-07-2022 01:00:33,es,BNX,117.6,1658091633,0.0,0
18-07-2022 12:00:33,xs,BNX,119.952,1658133590,0.0,-2.0
18-07-2022 19:00:52,el,NKN,0.1115,1658156452,0.0,0
18-07-2022 21:07:09,xl,NKN,0.1088,1658164029,0.0,-2.42
18-07-2022 23:01:41,el,FIRO,2.648,1658170901,0.0,0
18-07-2022 23:04:10,xl,FIRO,2.675,1658171050,0.0,1.02
19-07-2022 00:00:55,el,BURGER,1.821,1658174455,0.0,0
19-07-2022 00:02:14,xl,BURGER,1.838,1658174534,0.0,0.93
19-07-2022 03:00:26,el,DYDX,2.04,1658185226,0.0,0
19-07-2022 03:09:58,xl,DYDX,2.061,1658185798,0.0,1.03
19-07-2022 16:08:24,el,MITH,0.0368,1658232504,0.0,0
19-07-2022 20:11:05,xl,MITH,0.03605,1658247065,0.0,-2.04
20-07-2022 07:06:34,el,AR,15.71,1658286394,0.0,0
