date-time,pos,Asset,price,ts,btc_24hr_pc,PnL
15-07-2022 17:00:01,el,BTC,20981.07,1657890001,0.0,0
15-07-2022 18:00:06,xl,BTC,20929.17,1657893606,0.0,-0.25
16-07-2022 22:00:02,el,BTC,21257.17,1657994402,0.0,0
16-07-2022 23:00:00,xl,BTC,21286.32,1657998000,0.0,0.14
18-07-2022 12:00:01,el,BTC,22252.06,1658131201,0.0,0
18-07-2022 13:00:01,xl,BTC,22294.36,1658134801,0.0,0.19
18-07-2022 16:00:02,el,BTC,22133.69,1658145602,0.0,0
18-07-2022 17:00:02,xl,BTC,22283.92,1658149202,0.0,0.68
18-07-2022 17:00:03,el,BTC,22281.2,1658149203,0.0,0
18-07-2022 18:00:02,xl,BTC,22151.09,1658152802,0.0,-0.58
18-07-2022 20:00:01,el,BTC,22682.13,1658160001,0.0,0
18-07-2022 20:00:03,xl,BTC,22674.36,1658160003,0.0,-0.03
18-07-2022 21:00:00,el,BTC,22200.38,1658163600,0.0,0
18-07-2022 21:00:01,xl,BTC,22200.81,1658163601,0.0,0.0
19-07-2022 20:00:02,el,BTC,23139.12,1658246402,0.0,0
19-07-2022 21:00:01,xl,BTC,23232.85,1658250001,0.0,0.41
19-07-2022 21:00:02,el,BTC,23233.46,1658250002,0.0,0
19-07-2022 22:00:01,xl,BTC,23456.42,1658253601,0.0,0.96
21-07-2022 16:00:04,es,BTC,22605.9,1658404804,0.0,0
21-07-2022 17:00:01,xs,BTC,22804.72,1658408401,0.0,-0.87
21-07-2022 19:00:05,es,BTC,22548.96,1658415605,0.0,0
21-07-2022 20:00:01,xs,BTC,22643.06,1658419201,0.0,-0.42
23-07-2022 22:00:02,es,BTC,22026.92,1658599202,-4.28,0
23-07-2022 23:00:01,xs,BTC,22077.57,1658602801,-4.13,-0.23
